Users;Department;Position;Local admin privileges;Domain admin privileges;Service admin;Development and admin tools available;OS;AV protection;Posession of data on security and administration;Key business role;Internet access;Confidential information;Science and technology information;Production info;Management info;Financial info;Market info;Price info;Partner info;Security management info;Personal data;ÄÑÏ (rus);24 x 7 working hours;High performance applications;Interactions with external IS;Electronic eternal information exchange;Initial qualification;Number of projects;Project 6;Project 21;Project 27;Project 33;Project 41;Project 44;Project 46;Project 47;Project 49;Project 60
User 60;Department 22;Position 87;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 61;Department 47;Position 217;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 62;Department 40;Position 126;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 63;Department 35;Position 12;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;2;0;0;0;1;0;0;0;0;0;0
User 64;Department 50;Position 170;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 65;Department 2;Position 174;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 66;Department 9;Position 198;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 67;Department 9;Position 198;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 68;Department 1;Position 98;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 69;Department 48;Position 187;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 70;Department 47;Position 163;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 71;Department 4;Position 224;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 72;Department 49;Position 163;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 73;Department 22;Position 37;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 74;Department 43;Position 86;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;28;0;1;1;0;0;0;0;0;0;0
User 75;Department 47;Position 134;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 76;Department 13;Position 85;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 77;Department 44;Position 210;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 78;Department 18;Position 140;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;user;1;0;0;0;0;0;1;0;0;0;0
User 79;Department 6;Position 197;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 80;Department 6;Position 197;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
